entire lamina septum pellucidum	gehele lamina septi pellucidi
repair of defect of palate with skin graft	operatief herstel van verhemeltedefect met huidtransplantaat
retired reason not stated	reden niet gegeven
entire cervical spine	gehele cervicale wervelkolom
order Bdellovibrionales	ordo Bdellovibrionales
hyperopic photorefractive keratectomy	hypermetrope fotorefractieve keratectomie
arthritis of right wrist caused by bacteria	bacteriële artritis van rechter pols
product containing precisely haloperidol 2 milligram/1 milliliter conventional release oral solution	product dat precies haloperidol bevat 2 milligram/1 milliliter conventionele oplossing voor orale toediening
vagina	schede
percutaneous biopsy of major salivary gland	percutane biopsie van glandula salivaria major
entire long digital flexor tendon - Zone II	pees van musculus flexor digitorum longus in zone II
tipula iridescent virus	iriserend Tipulavirus
flexible fiberoptic esophagoscope	flexibele fiberoptische oesofagoscoop
mammary cytologic material	cytologisch materiaal van borst
repair of chest wall	operatief herstel van borstwand
total hysterectomy with right salpingo-oophorectomy	totale uterusextirpatie met salpingo-ovariëctomie rechts
palantypist	schrijftolk
dermatome of C1	structuur van dermatoom van C1
paralytic syndrome of all four limbs as sequela of stroke	verlamming van alle vier extremiteiten als restverschijnsel van beroerte
entire long ciliary nerve	nervus ciliaris longus
maxillofacial surgery department	kaak- en aangezichtschirurgie afdeling mond-
acetabuloplasty with use of methyl methacrylate	acetabuloplastiek met gebruik van methylmethacrylaat
childbirth AND/OR puerperium heart disease in mother complicating pregnancy	bevalling en/of puerperium hartziekte bij moeder als complicatie bij zwangerschap
gonococcal urethral abscess	abces van urethra door Neisseria gonorrhoeae
lesion of oesophagus	laesie van oesofagus
grandiose delusion disorder	megalomane waanstoornis
meralgia paresthetica of bilateral lower limbs	meralgia paresthetica van bilaterale onderste ledematen
drainage of subdural space	drainage van subdurale ruimte
tranylcypromine	tranylcypromine
uroporphyrinogen decarboxylase measurement	bepalen van UROD
drainage of abscess of nasal septum	drainage van abces van septum nasi
neoplasm of uncertain behaviour of spermatic cord	neoplasma van zaadstreng met onzeker maligne potentieel
myotonia congenita	Ziekte van Thomsen en Becker
puncture wound of thorax with foreign body	prikwond van thorax met corpus alienum
primary mucoepidermoid carcinoma of hypopharynx	primair muco-epidermoïd carcinoom van hypofarynx
product containing caffeine and paracetamol	product dat coffeïne en paracetamol bevat
dicentra canadensis	Dicentra canadensis
squamous cell carcinoma of corpus uteri	plaveiselcelcarcinoom van corpus uteri
entire oropharynx	gehele oropharynx
cardiomemo electrocardiographic monitoring	elektrocardiografische bewaking met cardiomemo
traumatic rupture of lumbar intervertebral disc	traumatische ruptuur van lumbale discus intervertebralis
finding of measures of upper limb	bevinding betreffende meting van bovenste extremiteit
structure of upper border of tenth rib	structuur van bovenrand van costa X
lateral pterygoid nerve	structuur van nervus pterygoideus lateralis
entire nasopharyngeal wall	gehele wand van nasofarynx
incomplete spontaneous abortion	onvolledige spontane abortus
ejaculatio praecox	ejaculatio praecox
deposition of oxalate crystals	depositie van kristallen van oxalaat
entire dorsal intercarpal ligament	geheel ligamentum intercarpale dorsale
neurohypophyseal diabetes insipidus	neurohypofysaire diabetes insipidus
centerncephalic epilepsy	centrencefale epilepsie
active caries	actieve cariës
increased active range of ankle flexion	vergroot actief flexiebereik van enkel
infection by Posteriostomum	infectie door Posteriostomum
wound botulism	Cutaan toxine-gemedieerd botulisme
ureteric stone sample	monster van uroliet
finding of consistency of liquor	bevinding betreffende consistentie van vruchtwater
open exploration of ventricle of brain	open exploratie van hersenventrikel
of phalanx of middle finger entire articular surface, metacarpal	geheel metacarpaal gewrichtsoppervlak van falanx van digitus III van hand
structure of retrobulbar part of optic nerve of right eye	structuur van retrobulbar deel van de oogzenuw van het rechteroog
structure of sternal angle	structuur van angulus sterni
ionophore	ionendrager
rhizopus microsporus variant microsporus	Rhizopus microsporus variant microsporus
first lumbrical muscle of foot	structuur van eerste musculus lumbricalis pedis
allergic arthritis of the pelvic region and thigh	allergische gewrichtsontsteking van pelvis en bovenbeen
benign tumour of posterior commissure	benigne neoplasma van achterste commissuur van larynx
incision and exploration of common bile duct	incisie en exploratie van ductus biliaris
incision and drainage of abscess of face	incisie en drainage van abces van aangezicht
tributary of accessory hemiazygous vein	tak van vena hemiazygos accessoria
lymphocyte positive for CD46 antigen	CD46-positieve lymfocyt
overhydrated hereditary stomatocytosis	overgehydrateerde hereditaire stomatocytose
entamoeba histolytica-Entamoeba dispar complex trophozoite	Entamoeba histolytica-Entamoeba dispar-complex-trofozoïet
urogenital system	urogenitaal systeem
chemical function tests	uitvoeren van chemische functietests
disease of maxillary sinus	aandoening van bovenkaaksholte
leptospiral meningitis	leptospirale-meningitis
single congenital cerebral cyst	enkelvoudige congenitale hersencyste
epigastric herniorrhaphy using natural material	operatief herstel van hernia epigastrica met natuurlijk materiaal
ice therapy in elevation	ijstherapie bij elevatie
closed reduction of malar and zygomatic fracture	gesloten repositie van zygomafractuur en fractuur van processus zygomaticus van os temporale
myringoplasty using non-biological tissue	myringoplastiek met niet-biologisch weefsel
lake resort place of occurrence of accident or poisoning	meerplaats plaats van ongeval of vergiftiging
axillofemoral graft arteriogram	arteriografie van axillofemorale bypass
anderson and D'Alonso type II fracture	type II fractuur volgens classificatie van Anderson en D'Alonzo
entire choroid plexus	gehele plexus choroideus
encephalitis caused by Langat virus	hersenontsteking door langatvirus
medication bezoar	geneesmiddelenbezoar
test tube rack	reageerbuisrek
light-adjustable intraocular lens implant	lichtinstelbaar intraoculair lensimplantaat
inulosucrase	inulosucrase
distal radioulnar joint	articulatio radioulnaris distalis
thermosipho melanesiensis	Thermosipho melanesiensis
product containing precisely coal tar 60 milligram/1 milliliter and lecithin 4 milligram/1 milliliter conventional release cutaneous cream	product dat precies koolteer 60 milligram/1 milliliter en lecithine bevat 4 milligram/1 milliliter conventionele vrijgekomen huidcrème
subcutaneous tissue structure of left lower limb	subcutis van linker onderste ledemaat
blood (white blood cell) screen for a-mannosidosis	screenen op alfa-mannosidose in leukocyten in bloed
clarithromycin poisoning of undetermined intent	intoxicatie door claritromycine met onbepaalde intentie
subcutaneous tissue of helix	subcutaan weefsel van helix
entire lateral aperture of fourth ventricle	gehele foramen van Luschka
lateral shoulder approach	laterale benadering van schouder
agenesis of ilium	agenesie van ilium
silver-106m	zilver-106m
radiotherapy to head	radiotherapie van hoofd
vitiligo due to Köbnerization	vitiligo door köbnerfenomeen
malignant tumour involving right fallopian tube by direct extension from left fallopian tube	maligne neoplasma met betrokkenheid van rechter tuba Fallopii met doorgroei vanuit linker tuba Fallopii
entire internal nose	gehele cavitas nasi
meningitis caused by pertussis	meningitis door Bordetella pertussis
child of patient dead	kind van patiënt overleden
hysteroscopic destruction of uterus and supporting structures	destructie van uterus en ondersteunende structuren met gebruikmaking van hysteroscoop
incision of artery of upper limb	incisie van arterie van bovenste extremiteit
entire branch of common fibular nerve	gehele tak van nervus fibularis communis
entire tubal tonsil	gehele tonsilla tubaria
obstetric high vaginal laceration with postnatal problem	hoge vaginale laceratie durante partu met postpartaal probleem
multiple spinal cord injuries without spinal bone injury	multipele letsels van ruggenmerg zonder benig letsel
posterior cruciate instability	instabiliteit van ligamentum cruciatum posterius
rim of cervix palpable	rand van cervix uteri voelbaar
nipple	papilla mammae
intentional bromazepam overdose	opzettelijke overdosis bromazepam
primary squamous cell carcinoma of skin of left lower limb	primair plaveiselcelcarcinoom van huid van linker onderste extremiteit
neolipoptena ferrisi	Neolipoptena ferrisi
initiation of hormone releasing contraceptive vaginal ring	starten met hormoonafgevende vaginale anticonceptiering
administration of substance via gastric stoma	toedienen van substantie via gastrostoma
arthroscopic debridement of knee joint	artroscopisch debridement van kniegewricht
fungus	fungus
referral from hospital speech and language therapist	verwijzing door logopedist verbonden aan ziekenhuis
metatarsophalangeal joint	metatarsofalangeaal gewricht
vagitus uterinus	vagitusboterinus
deficiency of acetyl-coenzyme A acetyltransferase	deficiëntie van acetyl-co-enzym-A-acetyltransferase
primary squamous cell carcinoma of adenoid	primair spinocellulair carcinoom van adenoïd
aarskog syndrome	syndroom van Aarskog
left atrioventricular valve leaflet abnormality	afwijking van klepblad van linker atrioventriculaire klep
creation of anastomosis from vena cava to pulmonary artery	aanleggen van Glenn-anastomose
plantar grasp reflex	plantaardig grijpreflex
steroid purpura	purpura door steroïdgebruik
body of sphenoid bone	sfenoïdlichaam
primary tuberculous complex	primair tuberculeus complex
halanaerobium congolense	Halanaerobium congolense
cefoxitin	cefoxitine
excision of lesion of palate with local flap closure	excisie van laesie van palatum en reconstructie met 'local flap'
excision of sinus tarsi	excisie van sinus tarsi
primary malignant neoplasm of perirenal tissue	primaire maligniteit van weefsel rondom nier
chironomus thummi diagnostic allergen extract	Chironomus thummi diagnostisch allergeen extract
extracorporeal shockwave treatment for renal calculus of 2 cm or more in diameter	extracorporele schokgolfbehandeling van niersteen met diameter van 2 cm of meer
premelanosome	premelanosoma
malignant tumour of stomach	maligne tumor van maag
articular cartilage of scaphoid	structuur van gewrichtskraakbeen van scafoïd
replantation of thumb	replantatie van digitus I van hand
entire fifth arch nerve	gehele zenuw van vijfde kieuwboog
suture of clitoris	hechten van clitoris
merkel cell carcinoma of lower limb	MCC van onderste ledemaat
MRI of cervix	MRI van cervix uteri
disorder of vomer	aandoening van vomer
interphalangeal joint of thumb closed traumatic subluxation	gesloten traumatische subluxatie van articulatio interphalangea pollicis
incision and exploration of bronchus	incisie en exploratie van bronchus
donor of kidney for transplant	niertransplantatie donor
ulnar collateral ligament complete tear, finger, distal interphalangeal joint	totale ruptuur van ulnair collateraal ligament van distaal interfalangeaal gewricht van vinger
actaea spicata	Actaea spicata
imaging of head	beeldvormend onderzoek van hoofd
closed fracture of physis of distal femur	gesloten breuk van groeischijf van distale dijbeen
epstein-Barr virus hepatitis	hepatitis door humaan herpesvirus type 4
energy conservation behaviour	energiebesparingsgedrag
bone structure of spinal canal	botstructuur van canalis vertebralis
injection of iodine 131	injectie van jodium 131
intentional etoposide poisoning	opzettelijke intoxicatie door etoposide
structure of base of phalanx of index finger	structuur van basis van falanx van digitus II van hand
rickettsia honei	Rickettsia honei
assessment using Listening Skills Checklist	beoordelen met 'Listening Skills Checklist'
iris nodule	nodulus van iris
arteriovenous malformation of limb	arterioveneuze malformatie van extremiteit
spinal catheter	spinale katheter
x-linked intellectual disability Wilson type	X-gebonden verstandelijke handicap type Wilson
desulfovibrio vulgaris	Desulfovibrio vulgaris
tissue specimen obtained from gallbladder by cholecystectomy with partial hepatectomy	preparaat van weefsel van galblaas verkregen door cholecystectomie met partiële hepatectomie
bite of rodent	beet van knaagdier
structure of palpebral conjunctiva of left upper eyelid	structuur van tunica conjunctiva van linker palpebra superior
neonatal abstinence syndrome	neonatal abstinence syndrome [NAS]
external carotid arteriogram	arteriografie van arteria carotis externa
entire mastoid	gehele processus mastoideus
neomycin undecylenate	neomycine undecylenate
osteochondritis dissecans of the wrist	osteochondritis dissecans van polsgewricht
tree nut	noot van boom
altered mental status	veranderde mentale toestand
product containing only Saccharomyces boulardii	product dat alleen Saccharomyces boulardii bevat
entire intervertebral disc space of first thoracic vertebra	gehele intervertebrale ruimte van eerste thoracale wervel
excess lid tissue	overtollig weefsel van ooglid
chemotherapy-induced change	verandering door chemotherapie
follow - dosing instruction imperative	volgen - doseerinstructie noodzakelijk
lateral surface of thigh	lateraal oppervlak van bovenbeen
entire reticular tissue	gehele reticulaire bindweefsel
benign cystic nephroma	benigne cysteus nefroom
seen by practice phlebotomist	gezien door de praktijk flebotomist
cell positive for CD100 antigen	CD100-positieve cel
closed fracture of T7-T12 level with incomplete spinal cord lesion	gesloten fractuur ter hoogte van zevende tot en met twaalfde thoracale wervel met incomplete dwarslaesie
durham	Durham
sodium picosulphate adverse reaction	natriumpicosulfaatbijwerking
does not repair conversation	repareert gesprek niet
decreased passive range of toe abduction	verminderde 'range of motion' bij passieve abductie van digitus van voet
provision of nursery school	aanbieden van regulier kleuteronderwijs
barotitis interna	aerotitis interna
bone tissue of proximal phalanx of second toe	botweefsel van phalanx proximalis van digitus pedis II
convection blood/fluid warmer which is high-flow	bloedverwarmer of vloeistofverwarmer met convectie in hoge flow
manage skin care	aansturen van huidverzorging
transplantation of tissue of oesophagus	transplantatie van weefsel van oesofagus
adenoid cystic carcinoma of parotid gland	adenocysteus carcinoom van oorspeekselklier
dog bite of toe	exclusief digitus I beet door hond in digitus van voet
smithella propionica	Smithella propionica
child examination: vision	onderzoek van gezichtsvermogen op kinderleeftijd
structure of long bone of right lower limb	pijpbeen van rechter onderste extremiteit
entrapment	entrapment
infection of bloodstream co-occurrent and due to central venous catheter in situ	bloedbaaninfectie gelijktijdig met en door centraal veneuze katheter in situ
holborn Reading Scale	Holborn Lezen Schaal
single manic episode moderate bipolar I disorder	eenmalige manische episode matige bipolaire-I-stoornis
supervisor: travel clerks	leidinggevende reisbureaumedewerkers
ligament of ovary	ligamentum ovarii proprium
entire terminal lactiferous ductule	gehele ductus lactiferus terminalis
measurement of serum adrenocorticotropic hormone	bepalen van corticotropine in serum
reflux of contrast medium	terugvloeiing van contrastmiddel
rheumatic fever without heart involvement	reumatische koorts zonder betrokkenheid van hart
autoimmune urticaria	auto-immuunmuun urticaria
product containing precisely fentanyl 800 microgram/1 each conventional release buccal film	product dat precies fentanyl 800 microgram/1 elke conventionele release buccal film bevat
acute appendicitis	appendicitis acuta
counselling about prognosis	counselen over prognose
activated protein C V deficient assay	actief eiwit C V deficiëntietest
entire fascia of thigh	gehele fascie van bovenbeen
tumour border configuration	tumorrandconfiguratie
fluoroscopic percutaneous angiography of heart for congenital anomaly	percutane angiografie van hart onder röntgendoorlichting vanwege congenitale afwijking
nonvenomous insect bite of trunk with infection	niet-giftige insectenbeet van romp met infectie
calcific tendinitis of right elbow	verkalkte ontsteking van pees van rechter elleboog
menosepsis	menosepsis
120 minute serum prolactin measurement	bepalen van PRL in serum na 120 minuten
obsessional thoughts of contamination	obsessionele gedachte van besmetting
structure of lymphatic vessel of thorax	structuur van lymfevat van thorax
salmonella IIIb 47:r:z35	Salmonella IIIb 47:r:z35
uncoated knee tibia/insert prosthesis	insert voor niet-gecoate tibiacomponent van knieprothese
excision of lesion of femur	excisie van afwijkend weefsel van femur
injury of ligament of hand	letsel van ligamentum manus
congenital talipes calcaneus	congenitale pes calcaneus
atrial inversion operation	atriale ompolingsoperatie
entire muscle acting on atlanto-occipital joint	gehele spier werkend op atlanto-occipitaal gewricht
closed reduction of fracture AND application of splint	Gesloten reductie van een fractuur en aanleggen van een spalk
percutaneous thrombolysis of common femoral artery	percutane trombolyse van gemeenschappelijke dijbeenslagader
burn of labial mucosa	brandwond van slijmvlies van lip
secondary cervical infertility	secundaire infertiliteit door cervicale oorzaak
repair of hypoglossal nerve	operatief herstel van nervus hypoglossus
crushing injury of vertebral region	crushletsel van regio vertebralis dorsum
entire skin of anterior surface of thigh	gehele huid van anterieur oppervlak van bovenbeen
carcinoma of cervical part of oesophagus	carcinoom van cervicaal gedeelte van oesofagus
normal variation in shape	normale variatie in vorm
calyceal stone	calyxsteen
type IV adult Pelizaeus-Merzbacher disease	ziekte van Pelizaeus-Merzbacher van volwassen type
pancreas	alvleesklier
malignant tumour of pancreas	maligne neoplasma van pancreas
abrupt pulse	pulsus celer
accidental spinal anesthetic poisoning	toevallige ruggenmergvergiftiging
head artery injection	injectie in slagader van hoofd
entire hair bulb	gehele bulbus pili
orbital fasciotomy	fasciotomie van oogkas
tuberomammillary nucleus	TMN
salmonella enterica subsp. enterica ser. Budapest	Salmonella enterica subspecies enterica serovar Budapest
infected wound of eyelid due to nonvenomous insect bite	geïnfecteerde verwonding van ooglid door niet-giftige beet door insect
acute fibrinous laryngotracheobronchitis	acute fibrineuze laryngotracheobronchitis
structure of shaft of fourth metacarpal bone of right hand	schacht van rechter vierde middenhandsbeen
noninfectious jejunitis	niet-infectieuze jejunitis
entire bone of T2	gehele bot van vertebra thoracalis 2
injection of steroid into hip joint	steroïdinjectie in gewricht van heup
dorsum of hand (surface region)	structuur van oppervlak van dorsum manus
retinal venous engorgement	veneuze stuwing van retina
entire Brodmann area 6	agrarisch frontaal gehele Brodmann gebied 6
acute myelomonocytic leukaemia	acute myelomonocytaire leukemie
stress fracture of thoracic vertebra	stressfractuur van thoracale wervel
acquired hemoglobin H disease	verworven HbH-ziekte
patch repair of superior mesenteric artery	operatief herstel van arteria mesenterica superior met patch
physical examination under local anaesthesia	lichamelijk onderzoek onder lokale anesthesie
structure of embryo at stage 12	embryo in 'Carnegie stage' 12
hydrocephalic disproportion - delivered	wanverhouding door foetale hydrocefalie - bevallen
has value	heeft waarde
malignant neoplasm of anterior wall of urinary bladder	maligne neoplasma van voorwand van urineblaas
glomerulonephritis co-occurrent and due to Wegener's granulomatosis	glomerulonefritis gelijktijdig met en door granuloma gangraenescens
reach-in food refrigerator	'reach-in'-koelkast voor voedsel
5-Hydroxytryptamine uptake measurement	bepalen van opname van serotonine
autosomal dominant hereditary hemochromatosis	autosomaal dominante hereditaire hemochromatose
veronica virginica	Veronica virginica
closed traumatic dislocation of joint of foot	gesloten traumatische luxatie van gewricht van voet
atypical glandular cells of uncertain significance which is probably malignant	atypische kliercellen van onzekere significantie passend bij premaligne of maligne proces
retinal damage	netvliesbeschadiging
decreased passive range of thoracic spine flexion	verminderde passieve ROM bij flexie van thoracale wervelkolom
mesial-incisal	mesioincisale vlakken van gebitselement
secondary angle-closure glaucoma	secundair gesloten-kamerhoekglaucoom
entire right elbow	gehele rechter elleboogregio
mergelland sheep	Mergellandschapenras
entire region of retroperitoneal space	gehele compartimentum retroperitoneales
product containing only ribavirin in parenteral dose form	product dat enkel ribavirine in parenterale vorm bevat
blood group antibody 754	bloedgroep antilichaam 754
metastatic malignant neoplasm to skin of chest	metastase in huid van thorax
well child visit	consult van gezond kind
specimen from endocervix obtained by curettage	monster verkregen door curettage van endocervix
anti-Borrelia burgdorferi 25kD IgM	anti-Borrelia burgdorferi 25kD-IgM
third degree burn of foot	derdegraads brandwond van voet
entire conjunctival gland	gehele glandula conjunctivalis
neurologic form of cretinism	neurologische vorm van congenitale-jodiumdeficiëntiesyndroom
product containing oil of male fern	product met olie van mannetjesvaren
maintenance of ductus arteriosus patency	onderhouden van doorgankelijkheid van ductus Botalli
subdural space of basal region	subdurale ruimte van basale regio
miscarriage complicated by metabolic disorder	miskraam gecompliceerd door stoornis van metabolisme
carcinomatous type malignant mixed tumour	maligne gemengd neoplasma van carcinomateus type
myocutaneous flap to extremity	transplantatie van myocutane lap naar extremiteit
crushing of contents of rectum	vergruizen van inhoud van rectum
saccadic velocity test	testen van snelheid van saccadische oogbeweging
choledochotomy	choledochotomie
entire articular surface of metacarpal	geheel gewrichtsoppervlak van os metacarpale
explosive personality disorder	explosieve-persoonlijkheidsstoornis
entire tendon of iliocostalis thoracis	gehele pees van musculus iliocostalis dorsi
accidental clonidine poisoning	onopzettelijke intoxicatie door clonidine
metastatic malignant neoplasm to bronchus of right middle lobe	metastase in bronchus van rechter middenkwab
low density lipoprotein measurement	bepalen van 'low-density lipoprotein'
benign neoplasm of bone of left foot	benigne neoplasma van bot van linker voet
ring block of 3rd toe	ringblokkade van digitus III van voet
no passive range of knee external rotation	geen passief bereik van de uitwendige rotatie van de knie
fibromuscular hyperplasia of artery	fibromusculaire hyperplasie van arterie
ultrasound scan and drainage of pancreas	echoscopie en drainage van alvleesklier
cladosporium oxysporum	Cladosporium oxysporum
vaginal vault finding	bevinding betreffende schedetop
entire ileal lumen	gehele lumen van kronkeldarm
external duodenal fistula	uitwendige duodenumfistel
intentional mitobronitol overdose	opzettelijke overdosering van mitobronitol
face looks pinched	mager gezicht
metastatic malignant neoplasm to skin of cheek	metastase in huid van wang
revision of anastomosis of gallbladder	revisie van anastomose van galblaas
congenital bilobed gallbladder	aangeboren galblaas
serum carbamazepine measurement	bepalen van carbamazepine in serum
product containing isocitrate dehydrogenase-1 inhibitor	product dat isocitraat-dehydrogenase-1-remmer bevat
flexor pollicis longus tendon rupture	ruptuur van pees van musculus flexor pollicis longus
exaggerated cusp of tooth	uitgesproken cuspis dentis
entire perineal nerve	gehele nervus perinealis
skin of lateral half of thoracic segment of trunk	structuur van huid van laterale helft van thoracaal segment van romp
drinking cup	drinkbeker
excisional biopsy of lymph node of neck	excisiebiopsie van cervicale lymfeklier
replacement of prosthesis in large intestine	vervangen van prothese in intestinum crassum
local infection of wound	lokale infectie van wond
lymphocyte positive for CD12 antigen	CD12-positieve lymfocyt
entire collateral ligament of interphalangeal joint of third toe	geheel collateraal ligament van interfalangeaal gewricht van digitus III van voet
excision of cyst of mandible with partial excision of mandible by extraoral approach	excisie van cyste van mandibula met partiële excisie van mandibula met extraorale benadering
congenital arteriovenous fistula of kidney	aangeboren AVF van nier
fracture of eight or more ribs	breuk van acht of meer ribben
congenital bowing of long bone	congenitale verkromming van pijpbeen
transcricoid bronchography	transcricoïdale bronchografie
rhabditis species	genus Tribactis
insect iridescent virus 22	iriserend insectenvirus 22
subclass Aerobic Chemolithotrophic Bacteria	Subclass Aerobic Chemolithotrophic Bacteria
puncture and catheterisation foreign object left in body during aspiration of fluid or tissue	prik en katheterisatie vreemd voorwerp achtergebleven in lichaam tijdens aspiratie van vloeistof of weefsel
entire skin of lateral surface of lower leg	gehele huid van lateraal oppervlak van onderbeen
bifurcation lesion of coronary artery	laesie van bifurcatie van coronairarterie
destructive procedure on larynx	destructie van larynx
absorbent cellulose dressing with fluid repellent backing	absorberend celluloseverband met vloeistofafstotende achterzijde
contusion of left wrist	contusie van linker pols
bioabsorbable polymeric pancreatic stent	resorbeerbare pancreasstent van polymeer
communicating branch of median nerve	structuur van ramus communicans van nervus medianus
line-powered keratoscope	keratoscoop met netvoeding
able to count up to 10	in staat om tot 10 te tellen
structure of cremaster muscle	structuur van musculus cremaster
salmonella IIIa 48:z36:-	Salmonella IIIa 48:z36:-
musicogenic seizure	muziekgeïnduceerd insult
referral to hypnotherapist	verwijzen naar hypnotherapeut
manchester foot pain and disability index score	Manchester voetpijn en invaliditeitsscore
direction of intussusception	richting van de intussusceptie
clinically significant macular edema of right eye due to diabetes mellitus	klinisch significant maculaoedeem van rechter oog gelijktijdig met en door diabetes mellitus
equipment type	materiaaltype
drug-induced erythromelalgia	medicatiegeïnduceerde erytromelalgie
entire skin of lateral region of trunk	gehele huid van laterale regio van romp
intraocular lens optic edge design	intraoculair ontwerp van de optische rand van de lens
superciliary arch	arcus superciliaris
structure of spinous process of fifth cervical vertebra	structuur van processus spinosus van wervel C5
migraine with ischaemic complication	migraine met ischemische complicatie
pilimelia columellifera ss. pallida	Pilimelia columellifera ssp. pallida
s4 spinal ganglion	structuur van ganglion spinale van nervus sacralis IV
structure of intervertebral syndesmosis of C5 and C6	intervertebrale syndesmose van vijfde en zesde cervicale vertebra
infection of musculoskeletal system caused by Neisseria gonorrhoeae	infectieziekte van musculoskeletaal systeem door Neisseria gonorrhoeae
structure of upper third of trachea	structuur van bovenste derde deel van trachea
oesophagitis caused by Cytomegalovirus	oesofagitis door CMV
thoracic surgeon	thoraxchirurg
finding of active range of cervical spine left rotation	bevinding betreffende actieve ROM bij rotatie linksom van halswervelkolom
craniofacial digital and genital anomalies syndrome	digitale en genitale anomalieën syndroom van craniofaciale
grafting of breast	reconstructie van borst met weefseltransplantaat
ganglion of superior tibiofibular joint	ganglioncyste van proximaal tibiofibulair gewricht
dislocation of perilunate joint	perilunaire luxatie
closed fracture thoracic vertebra	gesloten fractuur van thoracale wervel
systemic Epstein-Barr virus positive T-cell lymphoproliferative disease of childhood	systemische Epstein-Barr-virus-positieve T-cel lymfoproliferatieve aandoening van kindertijd
streptomycin overdose of undetermined intent	overdosis streptomycine met onbepaalde intentie
alprazolam overdose	overdosis alprazolam
twelfth rib	twaalfde rib
phosphoric chloride	fosforzuuranhydride
cetyl alcohol	cetylalcohol
early-onset dystonia parkinsonism	en parkinsonisme. Dystonie 16 is een zeer zeldzame en recent ontdekte bewegingsstoornis die wordt gekarakteriseerd door progressieve dystonie van een ledemaat met vroege aanvang, laryngeale en oromandibulaire dystonie
entire lower lid margin	gehele rand van palpebra inferior
entire deep muscle of neck	gehele diepe spier van hals
myopic macular degeneration of right eye	myopiegerelateerde maculadegeneratie van rechter oog
open fracture subluxation of single metatarsophalangeal joint	open fractuur en subluxatie van één metatarsofalangeale gewricht
arsenic-induced skin pigmentation	huidpigmentatie door arsenicum
isotretinoin-like syndrome	Isotretinoïne-achtig syndroom
myxoid liposarcoma	myxoïde liposarcoom
skin of lateral margin of forearm	huid van laterale zijde van onderarm
tinea capitis caused by Nannizzia fulva	tinea capitis veroorzaakt door Nannizzia fulva
paenibacillus chibensis	Paenibacillus chibensis
omphalomesenteric artery	arteria omphalomesenterica
wood splinter in mouth	houtsplinter in mond
bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron
ibuprofen overdose	overdosis van ibuprofen
thyroid cartilage	thyroïd kraakbeen
rupture	ruptuur
basophil count normal	basofieltelling normaal
haemophilus infection	infectieziekte door Haemophilus
semantic enhancement strategies	strategie voor ontwikkelen van semantische vaardigheden
plantar grasp reflex equivocal	plantaire grijpreflex niet eenduidig
adrenocorticotropic hormone hypersecretion	hypersecretie van adrenocorticotroop hormoon
carney complex variant	carneycomplex-variant
structure of phalanx of toe	structuur van falanx van teen
product containing clomifene	product dat clomifeen bevat
product containing only conjugated estrogen and norgestrel	product dat alleen geconjugeerde oestrogeen en norgestrel bevat
open supracondylar fracture of femur	gecompliceerde fractuur van supracondylair gedeelte van femur
mesenteric remnant	restant van mesenterium
longitudinal fracture	longitudinale fractuur
lifetime non-drinker of alcohol	levenslange niet-drinker van alcohol
housekeeping case management	casemanagement voor huishoudvaardigheden
