gastric aspirate present	ventrikelaspirat påvist
avoid exposure of skin to direct sunlight or sun lamps	undgå at udsætte huden for direkte sollys eller højfjeldssole
metal foreign body in mouth	metallisk fremmedlegeme i munden
on examination - no nystagmus	objektivt: ingen nystagmus
middle nasal turbinate structure	struktur af concha nasalis media
test feed	prøvemåltid
roseomonas gilardii subspecies gilardii	Roseomonas gilardii subsp. gilardii
rider of animal or animal-drawn vehicle occupant injured nontraffic accident involving trapped by door of motor vehicle when boarding or alighting from vehicle, not off-road vehicle, not on highway	rytter eller person i dyretrukket køretøj kvæstet ikke-trafikal ulykke omfattende person fanget af dør på motorkøretøj under ind- eller udstigning af køretøj, ikke terrængående køretøj, ikke på motorvej
on examination - pericardial rub absent	objektivt: perikardiel gnidningslyd ikke påvist
injury of duodenum without open wound into abdominal cavity	traumatisk læsion på duodenum uden åbent sår ind til bughulen
MRI of brain using isotropic resolution	MR-scanning af hjernen ved brug af isotropisk opløsning
fetal universal flexion	Fuld fleksion af fosterhoved
don Juan	Don Juan-syndrom
finding of light reflex of tympanic membrane	Fund vedr. trommehindens lysrefleks
thyrotropin releasing factor	thyrotropinfrigørende faktor
unspecified open dislocation of spine	uspecificeret åben luksation i rygsøjlen
total great vessel transposition	Total transposition af store kar
entire foramen centrale modioli	foramen centrale modioli som helhed
non-SI unit of pressure	ikke-SI-trykenhed
closed injury of diaphragm	Lukket traumatisk diaphragmalæsion
hand sprain	ikke nærmere specificeret Forvridning af hånd
reboxetine	reboxetin
soft tissue correction of hallux valgus	bløddelskorrektion af hallux valgus
removal of foreign body of cornea with slit lamp	Fjernelse af fremmedlegeme i cornea med spaltelampe
amaurosis fugax	Amaurosis fugax
allergy to nabilone	allergi over for nabilon
vibrio nigripulchritudo	Vibrio nigripulchritudo
finding of intracranial pressure	fund vedr. intrakranielt tryk
family tension	Spændt familieforhold
pseudoephedrine + dextromethorphan + paracetamol	pseudoephedrin + dextromethorphan + paracetamol
serotype A9	serotype A9
associated with	associeret med
implanted drug delivery system	medicinafgivelsessystem til implantation
amitriptyline	Amitriptylin
preretinal membranectomy by delamination	fjernelse af præretinal membran ved delaminering
curettage	Curettage
anterior chamber membrane	membran i forreste øjenkammer
pellet wound of breast	læsion af mamma forårsaget af hagl
finding related to ability to use credit card	Fund vedr. evne til at bruge kreditkort
caterpillar dermatitis	Kålormedermatit
baggenstoss change of pancreas	Baggenstoss forandring af pankreas
campylobacter jejuni rRNA assay	assay for Campylobacter jejuni-rRNA
peziza badioconfusa	Peziza badioconfusa
direct current therapy	DC-behandling
apolipoprotein LPA measurement	måling af apolipoprotein LPA
limb-kinetic apraxia	Ekstremitetskinetisk apraksi
posterior cerebellar lobe structure	struktur af cerebellums lobus posterior
chloroquine measurement	måling af chloroquin
salvage cystoprostatourethrectomy	salvage-procedure i form af cystoprostatouretrektomi
abnormality of common atrioventricular valve in atrioventricular septal defect	abnormitet af fælles atrioventrikulærklap ved atrioventrikulær septumdefekt
mixed dysphasia	blandet dysfasi
diphtheria single antigen vaccine adverse reaction	bivirkning af enkeltantigen-difterivaccine
posterior part of iliac crest	posterior del af crista iliaca
salmonella IIIa 63:z4,z23:-	Salmonella IIIa 63:z4,z23:-
thoughts of raping	tanker om voldtægt
hematoma of fallopian tube	hæmatom på tuba uterina
deformity of wrist due to rheumatoid arthritis	deformitet af håndrod forårsaget af reumatoid artrit
entire sphenoethmoidal recess	recessus sphenoethmoidalis som helhed
arthroplasty with prosthetic replacement of scaphoid	alloplastik med protetisk erstatning af os scaphoideum
gentamicin 80mg/2mL injection ampule	ampul gentamicin 80 mg/2 ml injektionsvæske
medial plantar nerve lesion	morfologisk forandring i nervus plantaris medialis
fordyce spots of penis	heterotopia glandularum sebacearum på penis
hypodermic needles & syringes	hypodermiske kanyler & sprøjter
sitting upright	Siddende rank
carcinoma in situ of cardia	Carcinoma in situ cardiae
open traumatic subluxation midcarpal joint	åben traumatisk subluksation af midtkarpalled
core needle biopsy using ultrasound guidance	ultralydsvejledt grovnålsbiopsi
allergy to guar gum	allergi over for guargummi
NEEP increased - Negative end expiratory pressure increased	NEEP øget    Negativt sluteksspiratorisk tryk øget
cranial dysostosis NEC	ikke klassificeret andetsteds kraniel dysostose
zuclopenthixol 10 mg oral tablet	zuclopenthixol 10 mg tablet
methylphenidate hydrochloride 10mg m/r tablet	methylphenidathydrochlorid 10 mg tablet med modificeret udløsning
marburg virus disease	Marburgvirus-sygdom
finding of passive range of wrist abduction	Fund vedr. bevægeudslag ved passiv abduktion af håndled
entire lymphatic of head	lymfekar som helhed i hovedet
anterior closed dislocation	lukket anterior luksation
gastric parietal cell antibody	Gastrisk parietalcelle-antistof
episioperineorrhaphy	episioperineorafi
acute respiratory distress	akut respiratorisk distress
incomplete spontaneous abortion	ikke nærmere specificeret Ufuldstændig, spontan abort
eosinophil count	fund vedr. eosinofiltal
walks heel to toe	Går hæl mod tå
increased small bowel motility	Øget tyndtarmsmotilitet
sodium fluoroacetamide toxicity	forgiftning med natriumfluoroacetamid
superficial partial thickness burn of a single finger	overfladisk delhudsforbrænding af enkelt finger
chaetomium brevipilium	Chaetomium brevipilium
structure of spinous process of eighth thoracic vertebra	struktur af processus spinosus på 8. brysthvirvel
specific granule deficiency	specifik granuladefekt
acute pancreatitis	akut pankreatit
fibrinogen Detroit	fibrinogen Detroit
choline salicylate product	cholinsalicylatprodukt
closed complete rupture pubic symphysis	lukket komplet ruptur af symfysen
neck of second metacarpal	2. metakarpalknogles collum
health management finding	fund vedr. varetagelse af egen sundhed
subacute endocarditis	Subakut endokardit
on maternity leave	på barselsorlov
neck of pancreas	collum pancreatis
breast closure	lukning af mamma
osteochondritis dissecans of the humeral head	osteochondritis dissecans i caput humeri
benign neoplasm of pharyngeal recess	Benignt neoplasme i recessus pharyngeus
on examination - right healed foot ulcer	objektivt: helet højre fodsår
lignocaine 2% injection 20ml vial	20 ml hætteglas lidocain 2 % injektionsvæske
salmonella subterranea	Salmonella subterranea
incision of vertebral column	Incision i columna vertebralis
retropharyngeal abscess drained	retrofaryngal absces dræneret
state	stat
archery bolt	bolt til bueskydning
musculoskeletal extension	Muskuloskeletal ekstension
anesthesia for procedure on facial bones	anæstesi mhp. indgreb på ansigtsknogler
secondary screener	sekundær undersøger
entire lateral malleolar arterial network	rete malleolare laterale som helhed
salmonella deckstein	Salmonella deckstein
stenosis of eustachian tube	Stenose af tuba auditoria
barbiturase	Barbiturase
2,4-Dichlorophenoxyacetate measurement	måling af 2,4-dichlorphenoxyacetat
streptococcus pneumoniae serogroup 7	Streptococcus pneumoniae serogruppe 7
intermittent vertigo	Intermitterende vertigo
odor of urine	urinens lugt
main Drain virus	Main Drain-virus
diaphragmatic trichiniasis	Diaphragmatisk trichiniasis
salmonella Orleans	Salmonella orleans
extra-high resolution technique	teknik ved ekstra høj opløsning
evaluation of spermatozoa morphology	vurdering af spermatozomorfologi
poisoning by antidepressant drug	Forgiftning med antidepressivum
thumb joint colour	Farve på tommelfingerled
pyrazinamide 500mg tablet	pyrazinamid 500 mg tablet
infanticide	Spædbarnsdrab
disorder of fascia	Sygdom i fascie
salmonella santiago	Salmonella santiago
structure of outer surface of first rib	struktur af ydre overflade på 1. costa
silicone gel sheet 30cm x 5cm rectangular	rektangulær silikonegelplade 30 cm x 5 cm
allergy to indoramin	allergi over for indoramin
tumor-node-metastasis (TNM) testis tumor staging	TNM-stadieinddelingssystem for testistumor
bilateral mastectomy with excision of bilateral regional lymph nodes	Bilateral mastektomi med excision af bilaterale regionale lymfeknuder
acylaminopenicillin	acylaminopenicillin
reassurance given	ikke nærmere specificeret Beroligelse ydet
paraspinal approach	paraspinal adgang
bowel torsion manipulation	Manipulation af intestinal torsion
group O:57 salmonella IIIb	gruppe O:57 Salmonella IIIb
entire lateral surface of leg	laterale overflade som helhed på ben
structure of ligament of diaphragm	struktur af diafragmatisk ligament
eats in cafe or canteen	Spiser på café eller i kantine
ambrisentan 5 mg oral tablet	tablet ambrisentan 5 mg
patient told by general practitioner deregistered	alment praktiserende læge meddelt patienten at denne er afregistreret
accidental overdose of H2 antagonist	accidentel overdosis af H2-antagonist
methanosphaera stadtmanae	Methanosphaera stadtmanae
place in family order	Plads i familierækkefølge
acetaminophen+chlorpheniramine maleate+phenylephrine hydrochloride 500mg/8mg/40mg caplets	acetaminophen + chlorpheniraminmaleat + phenylephrinhydrochlorid kapselformede tabletter a 500 mg/8 mg/40 mg
assault with razor	forsætligt påført skade forårsaget af barberkniv
rheumatic pericarditis	Reumatisk perikardit
sprain of anterior cruciate ligament of knee	overstrækning af forreste korsbånd
solar pruritus of elbows	pruritus på albuer fremkaldt af sollys
finding of American Society of Anesthesiologists physical status classification	fund vedr. American Society of Anesthesiologists' klassifikation af fysisk status
single photon emission computed tomography (SPECT) of entire skeleton	SPECT af hele skelettet
cryptosporidium muris	Cryptosporidium muris
capillaria annulata	Capillaria annulata
division of hypophyseal stalk	Deling af hypofysestilk
operative procedure on fingers	Operativt indgreb på fingre
on examination - hair lacks lustre	objektivt: hår mangler glans
on examination - straight leg raising	objektivt: løft af strakt ben
congenital anomaly of finger	kongenit anomali i anden finger end tommelfinger
IV	IV
open reduction of open elbow dislocation	Åben reponering af åben luksation i albue
sequestrectomy of clavicle	Sekvestrektomi af clavicula
focal glomerular sclerosis	Fokal glomerulær sklerose
presbyterian	presbyterianer
MRI of cerebrospinal fluid flow	MR-scanning af cerebrospinalvæske-flow
salmonella IIIb 48:(k):z53	Salmonella IIIb 48:(k):z53
via middle meatus	via meatus nasi medius
sclerosing type basal cell carcinoma	basalcellekarcinom  skleroserende type
war injury due to carbine bullet	krigsskadelæsion forårsaget af kugle fra karabin
secondary malignant neoplasm of mouth	Sekundært malignt neoplasme i munden
dislocated elbow reduced	Reponering af lukseret albue
CD8 percent count	tælling af CD8-procent
mobilization of the foot	Mobilisering af fod
bulbar weakness	Bulbær svaghed
fetal distress unspecified	uspecificeret Føtale stress-symptomer
excision of pilonidal sinus NEC	ikke klassificeret andetsteds excision af pilonidalcyste
urine pH test not done	undersøgelse af pH-værdi i urin ikke udført
nephrogenic cord derivative	Derivat af nefrogen streng
insulin zinc suspension (crystalline) allergy	allergi over for insulin-zink-suspension
optimistic thoughts	Optimistiske tanker
4 o'clock position on mammogram	positionen kl. 4 på mammogram
controls posture	Kontrollerer kropsholdning
igG anticardiolipins measurement	IgG anticardiolipin-måling
egg yolk extract	æggeblommeekstrakt
anti-complementary activity	Antikomplementær aktivitet
parity 2	Paritet 2
exercises for rigidity	Øvelser for stivhed
liver and spleen (combined site)	kombineret lokalisation lever og milt
excision of lesion of larynx using thyrotomy as approach	Excision af morfologisk forandring i larynx gennem halskravesnit
lyme carditis	Lyme-kardit
extrapulmonary legionella infection	ekstrapulmonal Legionella-infektion
subareolar incision	Subareolær incision
suprapubic belt	Suprapubisk bælte
corynebacterium diphtheriae	Corynebacterium diphtheriae
number of bowel incontinence episodes	antal episoder med tarminkontinens
abnormal haematology findings	Abnorme hæmatologifund
extramedullary plasmacytoma	ekstramedullært plasmacytom
incision of ischiorectal tissue	Incision i iskiorektalt væv
psychogenic vertigo	Psykogen vertigo
menoni	Menoni
endogenous lipoid pneumonia	Endogen lipoid pneumoni
ribbon gauze	Gazestrimmel
neoplasm of temporal lobe	Neoplasme i temporallap
physaloptera pseudopreputialis	Physaloptera pseudopreputialis
open wound of thyroid gland without complication	åbent sår i glandula thyroidea uden komplikation
malignant neoplasm of nervous system	ikke nærmere specificeret Malignt neoplasme i nervesystemet
coronary sinus to left ventricle fistula	Fistel fra sinus coronarius til venstre hjerteventrikel
acquired ankyloblepharon	Erhvervet ankyloblepharon
electrocoagulation of lesion of pharynx	Elektrokoagulation af morfologisk forandring i pharynx
choking attacks	Kvælningsanfald
meprobamate 400 mg oral tablet	meprobamat tablet 400 mg
systemic inflammatory response syndrome	systemisk inflammatorisk responssyndrom
congenital absence of parietal bone	Kongenit manglende os parietale
finding related to ability to control behaviour	Fund vedr. evne til at kontrollere adfærd
undifferentiated malignant teratoma	udifferentieret malignt teratom
appearance of dental restoration	Udseende af dental genopbygning
cutaneous powder spray	kutan pulverspray
removal by grinding	Fjernelse ved slibning
blood vessel structure	struktur af blodkar
psychologically abused parents	Psykisk mishandlede forældre
desulfovibrio vietnamensis	Desulfovibrio vietnamensis
streptomyces violaceochromogenes	Streptomyces violaceochromogenes
heart failure follow-up	opfølgning på hjerteinsufficiens
field stain method	Fields farvningsmetode
electrolyte imbalance	Elektrolytforstyrrelse
fracture of parietal bone	Fraktur af os parietale
allergy to cabergoline	allergi over for cabergolin
clicking tibiofibular joint	Klikkende tibiofibulærled
congenital malposition of femur	Kongenit fejlstilling af femur
percutaneous transluminal cutting balloon angioplasty of coeliac artery using fluoroscopic guidance	perkutan transluminal ballonangioplastik med aterotomer på truncus coeliacus vejledt af røntgengennemlysning
spinal nerve root finding	Fund vedr. spinalnerverod
leather	læder
patient education in self-care	vejledning af patient vedr. egenomsorg
timolol 0.25% eye drops	timolol 0,25% øjendråber
compulsive water drinking	vanddrikningstvang
surface region of back	Overfladeregion på ryggen
deep full thickness burn, with loss of body part which is of the leg	ikke nærmere specificeret dyb fuldhudsforbrænding af ben med tab af underliggende strukturer
ascaris lumbricoides antibody assay	analyse for Ascaris lumbricoides-antistof
von Willebrand disease type IC	von Willebrands sygdom type IC
history of cat allergy	sygehistorie: allergi over for katte
colour of sputum - finding	fund vedr. ekspektorats farve
fimbriated end of left fallopian tube closed	Frynsede ende af venstre tuba uterina lukket
poisoned bite of unidentified snake with coagulopathy	forgiftet bid af uidentificeret slange med koagulopati
episodic inhalant abuse	episodisk misbrug af inhalationsstof
flame-cutter	flammeskærer
virilising adrenal tumour	viriliserende adrenal tumor
gastrointestinal fluid sample	Prøve af gastrointestinalvæske
methanococcus vannielii	Methanococcus vannielii
other specified repair of vault of vagina	anden specificeret udbedring af vaginatop
glossopharyngeal nerve motor disorder	forstyrrelse af den motoriske del af nervus glossopharyngeus-betinget motorisk
application of additional component to external fixator frame	Applikation af yderligere komponent på ekstern fiksatorramme
entire right submaxillary gland	højre glandula submandibularis som helhed
allergy to crisantaspase	allergi over for crisantaspase
convergent gaze	konvergent blik
nimodipine	Nimodipin
total gastrectomy and anastomosis of oesophagus to transposed jejunum	total gastrektomi og anlæggelse af anastomose mellem oesophagus og transponeret jejunum
entire salpingopharyngeal fold	plica salpingopharyngealis som helhed
arms not swung when walking	Ingen medsving af arme under gang
mood-incongruent severe major depression with psychotic features	depression af svær grad med stemningsinkongruente psykotiske symptomer
depth of periodontal pocket	dybde af parodontal poche
open angle	Åben vinkel
structure of circumflex branch of left coronary artery	struktur af venstre koronararteries ramus circumflexus
changing intravenous infusion line	Skiftning af intravenøs infusionsslange
structure of maxillary sinus mucous gland	struktur af glandula mucosa i sinus maxillaris
malignant neoplasm of eye	malignt neoplasme i øje
via cardiovascular system	via det kardiovaskulære system
osteomyelitis of petrous bone	Osteomyelit i pars petrosa
co-dydramol	co-dydramol
accidental mescaline overdose	accidentel overdosis af mescalin
entire tendon of gemellus	musculus gemellus-sene som helhed
salmonella kabete	Salmonella Kabete
entire oblique head of adductor pollicis muscle	caput obliquum som helhed på musculus adductor pollicis
monkeypox	monkeypox
entire subcutaneous tissue of dorsal surface of fifth toe	subkutant væv som helhed på 5. tås dorsale overflade
thrombectomy with catheter of innominate artery by thoracic incision	trombektomi med kateter i truncus brachiocephalicus ved torakal incision
laboratory medicine specialist	specialist i laboratoriemedicin
urinary catheter care management	administration af urinkateterpleje
deletion of long arm of chromosome 18	deletion af lange arm på kromosom 18
abdominal part of vas deferens	abdominal del af ductus deferens
thoracic nerve root injury - T4	T4 traumatisk læsion af torakal spinalnerverod
hemophilia B without inhibitor	hæmofili B uden inhibitor
toxic effect of aldrin	toksisk virkning af aldrin
1-chloro-2,2,2-trifluoroethyldifluoromethyl ether	1-chloro-2,2,2-trifluoroethyldifluoromethyl-ether
accessory movements	Accessoriske bevægelser
ear spray solution	opløsning ørespray
procedure on diaphragm	Indgreb på diaphragma
acute podopompholyx	Akut podopompholyx
arterial part	Del af arterie
corpus luteum hormone	corpus luteum-hormon
structure of sacral splanchnic nerves	struktur af de sakrale splankniske nerver
entire periorbital tissue	periorbitale væv som helhed
intervertebral disc structure of first thoracic vertebra	struktur af intervertebral discus på 1. brysthvirvel
anxiety	angst
counseling of employer	rådgivning af arbejdsgiver
irregular astigmatism - corneal	Uregelmæssig astigmatisme  korneal
disability 50% disability evaluation	50 % funktionsnedsættelse funktionsnedsættelsesvurdering
nashold needling of substantia gelatinosa of cervical cord	Nashold-suturering af substantia gelatinosa i cervikal rygmarv
heparin cofactor II deficiency	heparin-kofaktor II-mangel
calculus size	Calculusstørrelse
structure of medial cubital region	struktur af medial regio cubitalis
via gastrostomy tube	via gastrostomisonde
number of asthma exacerbations in past year	antal eksacerbationer af astma det sidste år
thoracolumbar part of anterior longitudinal ligament	torakolumbal del af ligamentum longitudinale anterius
incision and exploration of kidney pelvis	Incision og eksploration af nyrebækken
infection by Schistosoma	infektion med Schistosoma
non-verbal communication interventions	ikke-verbale kommunikationsinterventioner
hyperbetalipoproteinemia	hyperbetalipoproteinæmi
revision of plantar fasciectomy	revision af plantar fasciektomi
finding related to ability to clean toilet	fund vedr. evne til at rengøre toilettet
pain in axilla	Smerter i aksil
structure of intrinsic muscle of hand	struktur af intrinsik muskel i hånd
seen by audiology technician	Tilset af audiologitekniker
corneal scar	corneauklarhed
creation of Gross ileostomy	ileostomi ad modum Gross
regurgitates after swallowing	Regurgitation efter synkning
surgically constructed arteriovenous fistula	kirurgisk konstrueret arteriovenøs fistel
other destruction of lesion of skin of head or neck	anden destruktion af morfologisk forandring i hud på hovedet eller halsen
posterior lingual occlusion of mandibular teeth	Posterior lingval okklusion af mandibulære tænder
vaginal contraceptive soft silicone cap	vaginalpessar af blød silikone
oxybutynin hydrochloride 5mg m/r tablet	oxybutyninhydrochlorid 5 mg tablet  med modificeret udløsning
abduction	Abduktion
prasugrel	prasugrel
viral ear infection	viral infektion i øre
apicectomy lung	lunge Apicektomi
therapeutic arthroscopy	Terapeutisk artroskopi
granuloma	granulom
half-deep therapy 60-150 kV	60-150 kV halvdyb behandling
unilateral venography of renal vein	unilateral flebografi af nyrevene
de Vries type renal glycinuria	de Vries-type Renal glycinuri
malignant tumour involving vulva by direct extension from uterine cervix	Malign tumor med involvering af vulva ved direkte spredning fra cervix uteri
hydrocortisone+dimeticone '350'	hydrocortison + dimeticon 350
other congenital anomaly forearm	ikke nærmere specificeret anden kongenit anomali af underarm
topical local anesthetic to tracheal mucosa	lokalanæstetikum til topikal anvendelse på trakealslimhinde
second lumbrical muscle of foot	2. musculus lumbricalis i fod
structure of fundus of eye	struktur af fundus oculi
volition - finding	fund vedr. vilje
acetaminophen 325mg/hydrocodone 7.5mg tablet	acetaminophen 325 mg/hydrocodon 7,5 mg tablet
necrosis of placenta	Nekrose i placenta
fluoroscopic cholecystography using contrast	kolecystografi vha. røntgengennemlysning med kontrast
psychological therapies - 1-2 contacts/week	Psykologisk behandling - kontakt 1-2 gange per uge
structure of artery of inner ear	struktur af arterie i indre øre
betaxolol hydrochloride 0.25% suspension	betaxololhydrochlorid 0,25% suspension
mycoplasma culture	dyrkning af Mycoplasma
swallowing defect amelioration	bedring af synkedefekt
other thoracic disc disorders	Andre torakale discuslidelser
lymphatic structure of thorax	Lymfestruktur i thorax
liver imaging with vascular flow	Billedfremstilling af lever med vaskulært flow
structure of lateral sacrococcygeal ligament	struktur af lateralt sakrokokcygealt ligament
sulfitobacter dubius	Sulfitobacter dubius
cognitive skills training	træning af kognitive færdigheder
streptococcus pyogenes type emm112	Streptococcus pyogenes type emm112
geriatric monitoring first letter	1. brev vedr. geriatrisk monitorering
other replacement of coronary artery	Anden bypassoperation på koronararterie
outer mitochondrial space	ydre mitokondrierum
cavernous haemangioma	kavernøst hæmangiom
contaminated complex laceration of mandibular vestibule	kontamineret kompleks laceration af mandibulært vestibulum
secondary malignant neoplasm of glottis	sekundært malignt neoplasme i glottis
pseudomonas mosselii	Pseudomonas mosselii
unspecified abnormal uterine bleeding	uspecificeret abnorm uterin blødning
oz/day	oz/dag
aortic valve pullback pressure waveform	aortaklappens returtrykkurve
release of suprapubic sling	løsning af suprapubisk slynge
molecular dissociation	Molekylær dissociering
nisoldipine 40mg tablet	nisoldipin 40 mg tablet med modificeret udløsning
T1-6 anterior thoracic cord injury, without bony injury	T1-6 traumatisk anterior torakal rygmarvslæsion, uden knoglelæsion
other symptoms in tibiofibular joint	Andre symptomer i tibiofibulærled
structure of lamina horizontalis of palatine bone	struktur af lamina horizontalis af os palatinum
fibrolamellar hepatocellular carcinoma	fibrolamellært hepatocellulært karcinom
injury of gastrointestinal tract without open wound into abdominal cavity	traumatisk læsion af gastrointestinalkanalen uden åbent sår ind til bughulen
beta bacterial colony hemolysis	beta hæmolyse af bakteriekoloni
cyst of tonsil	Cyste i tonsil
fluconazole 2mg infusion solution 200mL vial	hætteglas a 200 ml fluconazol 2 mg infusionsvæske, opløsning
radiation injury of bone marrow	strålingsskade af knoglemarv
skin structure of palmar area of hand and finger	hudstruktur i palmare område af hånd og anden finger end tommelfinger
HLA DR AND DQ antigen typing	typebestemmelse af HLA-DR- og DQ-antigen
cortisone	Cortison
intervertebral disc prolapse	Intervertebral discusprolaps
serogroup O:13 yersinia enterocolitica	serogruppe O:13 Yersinia enterocolitica
disease caused by Capripoxviridae	sygdom forårsaget af Capripoxviridae
fiber lapper	fiberlapper
contracture of adductor pollicis	Kontraktur af adductor pollicis
modified radical	modificeret radikal
bone tissue of middle phalanx of third toe	knoglevæv fra mellemphalanx i 3. tå
superficial perivascular dermatitis	Overfladisk perivaskulær dermatit
gamma-Benzene hexachloride measurement	måling af gamma-hexachlorbenzen
accidental theophylline overdose	accidentel overdosis af theophyllin
able to move tongue tip repeatedly	i stand til at bevæge tungespidsen gentagne gange
suspender belt	strømpeholder
pyrethrum	pyrethrum
ureteric fistula to colon	Fistel mellem ureter og colon
red blood cell shape	erytrocytform
infected abrasion or friction burn of foot and toe	ikke nærmere specificeret inficeret abrasion eller friktionsforbrænding på fod og tå
irreducible inguinal hernia	ikke nærmere specificeret irreponibelt ingvinalhernie
finding related to ability to sit down	fund vedr. evne til at sætte sig ned
hears voices laughing at her	der griner ad hende eller ham hører stemmer
umbilical cord complications  - delivered	barn født navlesnorskomplikationer, ikke nærmere specificeret
joint between bodies of S1 and S2	corpus vertebrae-led mellem S1 og S2
cylinder cutter	rotorklipper
finding of active range of hip adduction	fund vedr. bevægeudslag ved aktiv adduktion af hofte
tripropyleneglycol diacrylate	tripropylenglycoldiacrylat
